topic_name,timestamp_ms,ros_timestamp_ms,frame_id,child_frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
/slamware_ros_sdk_server_node/odom,1755248980532.7670898438,1755248980532.2919921875,odom,base_link,-0.0226780586,-0.0173739307,0.0429939143,0.0145771791,0.0268547862,0.2770275694,0.9603759952,0.0001390072,-0.0039345943,0.0000000000,0.0000000000,0.0000000000,0.0088882951
/slamware_ros_sdk_server_node/odom,1755248980638.9609375000,1755248980638.4326171875,odom,base_link,-0.0227326639,-0.0169419888,0.0432866178,0.0141218464,0.0269322120,0.2767615674,0.9604573204,-0.0005144627,0.0040695303,0.0000000000,0.0000000000,0.0000000000,-0.0053342950
/slamware_ros_sdk_server_node/odom,1755248980741.6118164062,1755248980741.0390625000,odom,base_link,-0.0230598208,-0.0180307701,0.0437832922,0.0145712631,0.0270788688,0.2771215600,0.9603426754,-0.0031884629,-0.0106112363,0.0000000000,0.0000000000,0.0000000000,0.0075744260
/slamware_ros_sdk_server_node/odom,1755248980842.8947753906,1755248980842.3684082031,odom,base_link,-0.0227787718,-0.0180612318,0.0434827842,0.0148203512,0.0270682007,0.2773958697,0.9602599654,0.0027736145,-0.0003006203,0.0000000000,0.0000000000,0.0000000000,0.0057257925
/slamware_ros_sdk_server_node/odom,1755248980946.1093750000,1755248980945.6953125000,odom,base_link,-0.0229733102,-0.0185596067,0.0434579849,0.0146920683,0.0267335767,0.2774023304,0.9602694445,-0.0018827488,-0.0048232888,0.0000000000,0.0000000000,0.0000000000,-0.0001419065
/slamware_ros_sdk_server_node/odom,1755248981047.1677246094,1755248981046.5800781250,odom,base_link,-0.0236051586,-0.0198130757,0.0442657210,0.0145792060,0.0271038143,0.2781710805,0.9600383742,-0.0062630771,-0.0124247732,0.0000000000,0.0000000000,0.0000000000,0.0160838860
/slamware_ros_sdk_server_node/odom,1755248981150.2026367188,1755248981149.5725097656,odom,base_link,-0.0236710384,-0.0198259074,0.0439585969,0.0147114076,0.0271236020,0.2778967222,0.9601152517,-0.0006396562,-0.0001245891,0.0000000000,0.0000000000,0.0000000000,-0.0054863331
/slamware_ros_sdk_server_node/odom,1755248981251.4140625000,1755248981250.9772949219,odom,base_link,-0.0239660945,-0.0194854438,0.0447427779,0.0142125483,0.0275659570,0.2774437629,0.9602411572,-0.0029096881,0.0033574737,0.0000000000,0.0000000000,0.0000000000,-0.0091936202
/slamware_ros_sdk_server_node/odom,1755248981354.5156250000,1755248981353.9448242188,odom,base_link,-0.0239046477,-0.0200741105,0.0445549376,0.0148081926,0.0271708058,0.2778233533,0.9601336621,0.0005967587,-0.0057170099,0.0000000000,0.0000000000,0.0000000000,0.0076381645
/slamware_ros_sdk_server_node/odom,1755248981456.8212890625,1755248981456.2907714844,odom,base_link,-0.0239799172,-0.0196691435,0.0441981368,0.0146427754,0.0268604174,0.2778316490,0.9601425321,-0.0007354418,0.0039568444,0.0000000000,0.0000000000,0.0000000000,-0.0001042467
/slamware_ros_sdk_server_node/odom,1755248981561.8120117188,1755248981561.2102050781,odom,base_link,-0.0239701699,-0.0195312146,0.0444557332,0.0143890234,0.0271412429,0.2776520479,0.9601904234,0.0000929021,0.0013146188,0.0000000000,0.0000000000,0.0000000000,-0.0034739312
/slamware_ros_sdk_server_node/odom,1755248981663.6503906250,1755248981663.0664062500,odom,base_link,-0.0239713639,-0.0183784775,0.0438306034,0.0145221065,0.0267238937,0.2772806961,0.9603074286,-0.0000117220,0.0113172947,0.0000000000,0.0000000000,0.0000000000,-0.0078256662
/slamware_ros_sdk_server_node/odom,1755248981769.0778808594,1755248981768.4682617188,odom,base_link,-0.0239673983,-0.0180580206,0.0440095551,0.0139554316,0.0267607888,0.2770068643,0.9603938272,0.0000376234,0.0030403366,0.0000000000,0.0000000000,0.0000000000,-0.0055927886
/slamware_ros_sdk_server_node/odom,1755248981871.1210937500,1755248981870.4816894531,odom,base_link,-0.0241434220,-0.0181965437,0.0442496277,0.0139420473,0.0270529080,0.2770970383,0.9603598236,-0.0017254936,-0.0013578891,0.0000000000,0.0000000000,0.0000000000,0.0020303791
/slamware_ros_sdk_server_node/odom,1755248981976.5180664062,1755248981975.9606933594,odom,base_link,-0.0241682995,-0.0180423576,0.0449289009,0.0135023895,0.0275972832,0.2769414511,0.9603954957,-0.0002358528,0.0014617718,0.0000000000,0.0000000000,0.0000000000,-0.0028847645
/slamware_ros_sdk_server_node/odom,1755248982076.4987792969,1755248982075.9858398438,odom,base_link,-0.0240687821,-0.0183406640,0.0445795022,0.0139118277,0.0274533060,0.2773488993,0.9602761921,0.0009949209,-0.0029823047,0.0000000000,0.0000000000,0.0000000000,0.0085487075
/slamware_ros_sdk_server_node/odom,1755248982185.1601562500,1755248982184.5742187500,odom,base_link,-0.0243052039,-0.0180351343,0.0441900268,0.0140290709,0.0269055394,0.2771753619,0.9603400938,-0.0021772352,0.0028136573,0.0000000000,0.0000000000,0.0000000000,-0.0036315614
/slamware_ros_sdk_server_node/odom,1755248982285.5146484375,1755248982284.9726562500,odom,base_link,-0.0247528907,-0.0173234306,0.0437783748,0.0138144944,0.0265839087,0.2765975861,0.9605187301,-0.0044590970,0.0070887861,0.0000000000,0.0000000000,0.0000000000,-0.0122832491
/slamware_ros_sdk_server_node/odom,1755248982392.6711425781,1755248982392.2380371094,odom,base_link,-0.0245054439,-0.0170241743,0.0435575955,0.0137487498,0.0266791312,0.2765104269,0.9605421280,0.0023068647,0.0027898673,0.0000000000,0.0000000000,0.0000000000,-0.0016559096
/slamware_ros_sdk_server_node/odom,1755248982496.3835449219,1755248982495.8486328125,odom,base_link,-0.0244171973,-0.0173486322,0.0443080552,0.0136492681,0.0271633578,0.2768528043,0.9604313480,0.0008517133,-0.0031315118,0.0000000000,0.0000000000,0.0000000000,0.0071593028
/slamware_ros_sdk_server_node/odom,1755248982597.2897949219,1755248982596.7744140625,odom,base_link,-0.0246357247,-0.0176182576,0.0444704406,0.0135468106,0.0272612295,0.2770047898,0.9603862013,-0.0021652278,-0.0026715199,0.0000000000,0.0000000000,0.0000000000,0.0031619587
/slamware_ros_sdk_server_node/odom,1755248982697.4846191406,1755248982696.9418945312,odom,base_link,-0.0246986505,-0.0174603052,0.0444855317,0.0134876816,0.0272029332,0.2769002542,0.9604188316,-0.0006282055,0.0015768827,0.0000000000,0.0000000000,0.0000000000,-0.0022361982
/slamware_ros_sdk_server_node/odom,1755248982802.4218750000,1755248982801.9655761719,odom,base_link,-0.0247775223,-0.0170903336,0.0445821024,0.0131383258,0.0272502019,0.2766657272,0.9604899199,-0.0007509924,0.0035227508,0.0000000000,0.0000000000,0.0000000000,-0.0047519812
/slamware_ros_sdk_server_node/odom,1755248982903.9060058594,1755248982903.4731445312,odom,base_link,-0.0249662325,-0.0170512274,0.0442332141,0.0132538065,0.0269197235,0.2765635876,0.9605270674,-0.0018590725,0.0003852539,0.0000000000,0.0000000000,0.0000000000,-0.0022683279
/slamware_ros_sdk_server_node/odom,1755248983006.5576171875,1755248983006.0383300781,odom,base_link,-0.0243461337,-0.0164376236,0.0443700776,0.0128115126,0.0273545706,0.2764833976,0.9605438686,0.0060459034,0.0059825774,0.0000000000,0.0000000000,0.0000000000,-0.0015161931
